English,Romanian
part,parte
history,istorie
search,căutare
only,numai
police,politie
thought,gând
help,Ajutor
request,cerere
kind,drăguț
month,lună
brother,frate
let,lăsa
because,deoarece
to put,a pune
no,Nu
leash,lesă
them,lor
city,oraș
each,fiecare
speak,vorbi
come,vino
should,ar trebui să
baby,bebelus
long time,perioadă lungă de timp
hours,ore
will,voi
while,in timp ce
meet again,a intalni din nou
any,orice
square,pătrat
speak,vorbi
understood,înțeles
knew,știa
were,au fost
Warning,Avertizare
here is,aici este
could,ar putea
case,caz
give,da
type,tip
their,al lor
given,dat
train,tren
body,corp
place,loc
eyes,ochi
way,cale
listen,asculta
whose,a caror
find,găsi
first,primul
lost,pierdut
hand,mână
first,primul
side,latură
power,putere
old,vechi
be,fi
here,Aici
morning,dimineaţă
so much,atâta
child,copil
point,punct
came,a venit
after,după
sorry,scuze
come,vino
in front of,în fața
towards,către
minutes,minute
request,cerere
bedroom,dormitor
placed,plasat
beautiful,frumoasa
law,lege
would like to,ar dori
today,astăzi
husband,soțul
cause,cauză
finally,in cele din urma
hope,speranţă
water,apă
Wait,Aștepta
left,stânga
new,nou
job,loc de munca
Stop,Stop
would say,as spune
Earth,Pământ
account,cont
given,dat
far,departe
end,Sfârşit
believe,crede
sweetheart,dragă
large,mare
rather,mai degraba
will have,vom avea
girls,fetelor
to play,a juca
office,birou